steps,return
3628800.0,-8.8306
3641400.0,-8.753299999999996
3654000.0,-8.152700000000001
3666600.0,-8.643699999999997
3679200.0,-7.8704000000000045
3691800.0,-8.385899999999998
3704400.0,-5.3462999999999985
3717000.0,-6.466900000000001
3729600.0,-5.560199999999999
3742200.0,-7.468300000000001
3754800.0,-8.6762
3767400.0,-8.020900000000001
3780000.0,-8.211100000000005
3792600.0,-8.237699999999998
3805200.0,-8.090599999999995
3817800.0,-6.244799999999997
3830400.0,-6.265300000000002
3843000.0,-5.6221
3855600.0,-7.619400000000001
3868200.0,-8.942800000000004
3880800.0,-7.623899999999997
3893400.0,-7.2836
3906000.0,-7.8189000000000055
3918600.0,-8.180200000000001
3931200.0,-5.752400000000003
3943800.0,-6.333000000000002
3956400.0,-5.450199999999998
3969000.0,-7.436799999999998
3981600.0,-8.935600000000004
3994200.0,-7.8717999999999995
4006800.0,-8.417200000000005
4019400.0,-8.160600000000002
4032000.0,-8.206999999999999
4044600.0,-5.720900000000001
4057200.0,-6.288500000000003
4069800.0,-6.061100000000001
4082400.0,-8.4631
4095000.0,-8.680600000000002
4107600.0,-6.460999999999997
4120200.0,-7.356600000000002
4132800.0,-7.372300000000002
4145400.0,-8.607600000000005
4158000.0,-5.416200000000001
4170600.0,-6.680699999999997
4183200.0,-5.595300000000002
4195800.0,-7.5075999999999965
4208400.0,-8.5171
4221000.0,-6.209799999999999
4233600.0,-7.545
4246200.0,-7.880200000000002
4258800.0,-7.880299999999998
4271400.0,-5.8872
4284000.0,-6.2224999999999975
4296600.0,-5.583799999999995
4309200.0,-7.571600000000001
4321800.0,-8.678199999999999
4334400.0,-6.037500000000001
4347000.0,-7.4346
4359600.0,-8.239000000000006
4372200.0,-8.123000000000001
4384800.0,-5.833999999999999
4397400.0,-6.637300000000001
4410000.0,-5.6834000000000024
4422600.0,-7.593799999999997
4435200.0,-8.900499999999994
4447800.0,-7.5352000000000015
4460400.0,-7.466499999999997
4473000.0,-7.615399999999997
4485600.0,-7.785900000000004
4498200.0,-5.770299999999997
4510800.0,-6.432800000000001
4523400.0,-5.489400000000002
4536000.0,-8.0076
4548600.0,-8.9086
4561200.0,-7.224699999999996
4573800.0,-8.089699999999995
4586400.0,-7.2884
4599000.0,-8.316899999999997
4611600.0,-5.723999999999998
4624200.0,-6.155199999999996
4636800.0,-5.675199999999999
4649400.0,-8.136300000000004
4662000.0,-8.839799999999997
4674600.0,-7.0052999999999965
4687200.0,-8.6785
4699800.0,-7.316299999999998
4712400.0,-7.878500000000002
4725000.0,-5.8195
4737600.0,-6.944299999999998
4750200.0,-6.065299999999997
4762800.0,-8.9542
4775400.0,-8.515700000000002
4788000.0,-6.604199999999998
4800600.0,-6.817900000000001
4813200.0,-7.105500000000001
4825800.0,-7.6954
4838400.0,-5.968099999999998
4851000.0,-6.679899999999999
4863600.0,-5.918799999999998
4876200.0,-7.843500000000004
4888800.0,-8.009599999999995
4901400.0,-6.027099999999999
4914000.0,-7.030399999999996
4926600.0,-7.605800000000004
4939200.0,-7.537
4951800.0,-5.888299999999996
4964400.0,-6.612700000000001
4977000.0,-6.113399999999999
4989600.0,-7.7680000000000025
5002200.0,-8.365000000000002
5014800.0,-5.824599999999999
5027400.0,-7.284000000000002
5040000.0,-7.6319
5052600.0,-7.820800000000006
5065200.0,-5.881399999999997
5077800.0,-6.136099999999998
